,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64,Day 65,Day 66,Day 67,Day 68,Day 69,Day 70,Day 71,Day 72,Day 73,Day 74,Day 75,Day 76,Day 77,Day 78,Day 79,Day 80,Day 81,Day 82,Day 83,Day 84,Day 85,Day 86,Day 87,Day 88,Day 89,Day 90,Day 91,Day 92,Day 93,Day 94,Day 95,Day 96,Day 97,Day 98,Day 99,Day 100,Day 101,Day 102,Day 103,Day 104
,12/26/2019,12/27/2019,12/28/2019,12/29/2019,12/30/2019,12/31/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02/01/2020,02/02/2020,02/03/2020,02/04/2020,02/05/2020,02/06/2020,02/07/2020,02/08/2020,02/09/2020,02/10/2020,02/11/2020,02/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,03/01/2020,03/02/2020,03/04/2020,03/06/2020,03/07/2020,03/09/2020,03/10/2020,03/12/2020,3/13/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06E-09,0,0,0,3.06E-09,0,9.17E-09,0,0,0,3.06E-09,3.06E-09,3.06E-09,9.17E-09,0,0,3.06E-09,0,0,0,0,3.06E-09,0,3.06E-09,3.06E-09,0,0,0,0,0,0,3.06E-09,5.81E-08,0,0,5.50E-08,0,1.83E-08,3.06E-09,1.83E-08,9.17E-09,6.11E-08,4.28E-08,6.72E-08,1.04E-07,2.26E-07,3.21E-07,2.90E-07,3.70E-07,6.11E-07,8.28E-07,8.77E-07,1.07E-06,1.56E-06,2.37E-06,2.52E-06,2.71E-06,5.40E-06,9.13E-06,1.48E-05,1.64E-05,2.18E-05,2.59E-05,3.43E-05,2.69E-05,4.27E-05,5.13E-05,5.71E-05,6.11E-05,5.61E-05,6.60E-05,7.64E-05,8.28E-05,8.81E-05,9.91E-05,0.000104754,7.76E-05,9.34E-05,9.36E-05,0.000101853,0.00010362,0.00010859,8.68E-05
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75E-08,5.25E-07,4.38E-07,8.75E-07,2.36E-06,5.17E-06,5.25E-06,2.71E-06,3.41E-06,2.45E-06,4.11E-06,7.44E-06,1.40E-05,1.14E-05,1.72E-05,1.74E-05,1.38E-05,2.13E-05,2.71E-05,4.04E-05,4.89E-05,5.13E-05,2.99E-05,4.61E-05,5.85E-05,0.00011364,9.18E-05,0.000161967,0.00014901,9.31E-05,7.67E-05,0.000104097,0.000121169,0.000124496,0.00014542,0.000110313,9.83E-05,0.000120819,0.000105848,0.000138329,0.000147434,0.00011828
China,1.94E-08,0,0,1.22E-08,0,1.08E-08,0,0,0,0,0,0,0,0,0,0,0,2.87E-09,1.22E-08,9.76E-08,1.36E-08,1.08E-07,1.01E-07,6.96E-08,1.86E-07,3.17E-07,4.77E-07,5.65E-07,1.26E-06,1.05E-06,1.25E-06,1.42E-06,1.50E-06,1.86E-06,2.02E-06,2.32E-06,2.78E-06,2.68E-06,2.27E-06,2.45E-06,1.87E-06,2.14E-06,1.79E-06,1.46E-06,1.09E-05,2.98E-06,1.82E-06,1.44E-06,1.47E-06,1.36E-06,1.26E-06,2.83E-07,6.40E-07,5.93E-07,4.65E-07,1.57E-07,3.70E-07,2.94E-07,3.15E-07,2.36E-07,3.07E-07,4.12E-07,1.47E-07,9.12E-08,8.54E-08,8.40E-08,1.22E-07,7.25E-08,3.30E-08,3.23E-08,1.44E-08,2.08E-08,1.72E-08,1.58E-08,1.36E-08,1.58E-08,1.80E-08,3.09E-08,1.65E-08,3.16E-08,7.11E-08,3.73E-08,4.67E-08,9.91E-08,4.95E-08,5.60E-08,7.32E-08,6.75E-08,8.54E-08,8.11E-08,7.04E-08,6.03E-08,3.88E-08,7.18E-08,5.03E-08,4.45E-08,3.45E-08,4.81E-08,4.02E-08,6.17E-08,6.17E-08,3.95E-08,5.67E-08,6.68E-08
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-07,0,1.72E-07,1.72E-07,1.72E-07,1.72E-07,5.17E-07,3.45E-07,1.72E-06,5.17E-07,1.38E-06,1.21E-06,1.29E-05,2.60E-05,4.35E-05,2.76E-05,2.21E-05,3.97E-06,8.28E-06,9.83E-06,1.59E-05,1.57E-05,6.21E-06,1.79E-05,1.22E-05,1.19E-05,1.12E-05,2.26E-05,2.29E-05,2.64E-05,2.92E-05,2.67E-05,3.35E-05,3.14E-05,4.88E-05,4.26E-05,4.81E-05,6.40E-05,5.52E-05,5.04E-05,5.38E-05,6.73E-05,5.71E-05,4.02E-05,3.17E-05,3.05E-05
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81E-07,0,1.81E-07,0,5.44E-07,1.81E-07,9.06E-07,1.27E-06,1.99E-06,1.81E-06,3.44E-06,1.74E-05,9.97E-06,1.03E-05,9.06E-07,8.52E-06,9.06E-06,5.62E-06,9.06E-06,1.29E-05,1.90E-05,1.34E-05,1.67E-05,1.59E-05,1.41E-05,1.21E-05,3.50E-05,0,1.72E-05,1.29E-05,1.12E-05,1.30E-05,1.76E-05,4.84E-05,8.16E-06,4.51E-05,2.39E-05,3.24E-05,2.14E-05,2.97E-05,2.46E-05
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48E-08,0,0,0,1.49E-08,1.49E-08,1.49E-08,0,0,0,0,0,0,0,7.46E-08,0,0,0,0,0,0,0,0,1.49E-08,0,0,0,0,0,0,0,0,2.99E-08,4.48E-08,3.13E-07,2.84E-07,6.42E-07,4.48E-07,7.17E-07,5.08E-07,1.09E-06,2.06E-06,2.84E-06,1.54E-06,6.12E-06,4.27E-06,5.55E-06,7.42E-06,8.88E-06,1.17E-05,1.25E-05,1.38E-05,1.81E-05,1.64E-05,2.10E-05,2.78E-05,2.41E-05,2.76E-05,2.33E-05,5.73E-05,3.65E-05,4.38E-05,5.85E-05,5.69E-05,6.88E-05,3.88E-05,6.53E-05,0.000113126,7.26E-05,3.16E-05,7.81E-05,6.37E-05,2.80E-05,5.84E-05,5.64E-05,5.79E-05,6.40E-05,6.48E-05,4.65E-05
Central_African_Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,0,4.29E-07,2.14E-07,0,0,0,2.14E-07,0,2.14E-07,0,0,0,4.29E-07,0,0,2.14E-07,0,0,0,2.14E-07,2.14E-07,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-06,0,5.66E-06,8.48E-06,2.83E-05,2.83E-05,2.55E-05,2.26E-05,2.83E-05,5.66E-06,2.83E-05,1.41E-05,4.24E-05,9.05E-05,0,5.94E-05,0.00011313,5.94E-05,0.000135757,8.48E-06,0.000226261,0.000223433,0.000181009,0.000268685,5.66E-05,0.000169696,0.000251715,0.000183837,0.000248887,0.000206463,0.000161211,0.000186665,0.000138585,0.000240402,0.000279998,0.000127272,0.000149898,0.00019515,0.000214948,6.79E-05,8.48E-05,9.05E-05,7.64E-05,3.96E-05
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32E-07,1.03E-06,8.77E-07,1.61E-06,1.54E-06,1.29E-06,4.14E-06,3.94E-06,3.97E-06,9.28E-06,5.74E-06,7.71E-06,9.71E-06,1.27E-05,1.29E-05,2.06E-05,2.47E-05,2.97E-05,1.62E-05,3.83E-05,4.39E-05,4.21E-05,5.79E-05,4.67E-05,6.62E-05,5.83E-05,6.96E-05,8.81E-05,9.91E-05,0.000108503,9.20E-05,7.92E-05,8.69E-05,8.62E-05,0.000101818,9.86E-05,9.89E-05,8.63E-05,6.70E-05,6.71E-05,7.91E-05,7.72E-05,7.59E-05,7.95E-05,7.14E-05,5.96E-05,5.03E-05,6.35E-05,6.96E-05,6.54E-05,7.77E-05
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-07,5.65E-07,3.76E-07,1.69E-06,7.53E-07,1.13E-06,1.51E-06,4.33E-06,5.65E-06,5.08E-06,6.40E-06,4.14E-06,4.33E-06,1.60E-05,3.99E-05,2.48E-05,0,5.38E-05,3.20E-05,1.73E-05,2.62E-05,2.16E-05,2.43E-05,3.58E-05,3.46E-05,3.88E-05,4.50E-05,3.67E-05,6.59E-05,4.52E-05,8.00E-05,4.97E-05,4.84E-05,2.33E-05,4.16E-05,4.10E-05,5.08E-05,5.14E-05,5.68E-05,2.45E-05,2.16E-05,2.03E-05,2.77E-05,2.82E-05,1.58E-05,1.43E-05
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-08,0,0,0,0,0,0,0,0,2.14E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-08,8.56E-08,1.07E-07,2.78E-07,1.93E-07,6.85E-07,3.64E-07,6.63E-07,7.92E-07,1.05E-06,1.31E-06,2.42E-06,1.20E-06,3.40E-06,1.32E-05,9.31E-06,1.07E-05,1.85E-05,2.63E-05,3.26E-05,4.28E-05,3.08E-05,4.25E-05,5.43E-05,7.34E-05,6.06E-05,0.000105856,7.80E-05,9.67E-05,0.000140913,0.000169871,0.00018359,0.000168458,0.000175264,0.000140164,0.000136933,0.000197373,0.000165205,0.000173402,0.000159919,0.000150373,0.000128907,9.15E-05,0.000117242,0.000132267,0.000123192,9.79E-05,0.000103374
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82E-08,4.91E-07,4.91E-07,9.82E-08,9.82E-08,9.82E-08,8.84E-07,1.08E-06,2.55E-06,7.46E-06,2.36E-06,4.12E-06,4.42E-06,7.66E-06,1.34E-05,1.55E-05,1.52E-05,1.46E-05,1.06E-05,8.74E-06,4.52E-06,1.32E-05,1.20E-05,1.96E-05,1.21E-05,1.57E-05,1.08E-05,2.51E-05,2.34E-05,2.91E-05,2.36E-05,3.94E-05,2.48E-05,3.22E-05,4.00E-05,5.03E-05,5.10E-05,6.01E-05,3.58E-05,3.80E-05,3.69E-05,4.78E-05,7.13E-05,7.09E-05,5.34E-05,4.58E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,1,3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,19,0,0,18,0,6,1,6,3,20,14,22,34,74,105,95,121,200,271,287,351,511,777,823,887,1766,2988,4835,5374,7123,8459,11236,8789,13963,16797,18695,19979,18360,21595,24998,27103,28819,32425,34272,25398,30561,30613,33323,33901,35527,28391
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,10,27,59,60,31,39,28,47,85,160,130,197,199,158,243,309,462,558,586,342,526,668,1298,1049,1850,1702,1063,876,1189,1384,1422,1661,1260,1123,1380,1209,1580,1684,1351
China,27,0,0,17,0,15,0,0,0,0,0,0,0,0,0,0,0,4,17,136,19,151,140,97,259,441,665,787,1753,1466,1740,1980,2095,2590,2812,3237,3872,3727,3160,3418,2607,2974,2490,2028,15141,4156,2538,2007,2052,1890,1750,394,891,826,647,218,515,410,439,329,428,574,205,127,119,117,170,101,46,45,20,29,24,22,19,22,25,43,23,44,99,52,65,138,69,78,102,94,119,113,98,84,54,100,70,62,48,67,56,86,86,55,79,93
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,2,10,3,8,7,75,151,252,160,128,23,48,57,92,91,36,104,71,69,65,131,133,153,169,155,194,182,283,247,279,371,320,292,312,390,331,233,184,177
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,5,7,11,10,19,96,55,57,5,47,50,31,50,71,105,74,92,88,78,67,193,0,95,71,62,72,97,267,45,249,132,179,118,164,136
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,21,19,43,30,48,34,73,138,190,103,410,286,372,497,595,785,838,924,1210,1097,1404,1861,1617,1847,1559,3838,2446,2931,3922,3809,4611,2599,4376,7578,4861,2116,5233,4267,1873,3912,3777,3881,4286,4342,3114
Central_African_Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,1,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,10,10,9,8,10,2,10,5,15,32,0,21,40,21,48,3,80,79,64,95,20,60,89,65,88,73,57,66,49,85,99,45,53,69,76,24,30,32,27,14
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,62,53,97,93,78,250,238,240,561,347,466,587,769,778,1247,1492,1797,977,2313,2651,2547,3497,2823,4000,3526,4207,5322,5986,6557,5560,4789,5249,5210,6153,5959,5974,5217,4050,4053,4782,4668,4585,4805,4316,3599,3039,3836,4204,3951,4694
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,9,4,6,8,23,30,27,34,22,23,85,212,132,0,286,170,92,139,115,129,190,184,206,239,195,350,240,425,264,257,124,221,218,270,273,302,130,115,108,147,150,84,76
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,13,9,32,17,31,37,49,61,113,56,159,615,435,501,864,1227,1522,2000,1438,1987,2538,3431,2833,4946,3646,4517,6584,7937,8578,7871,8189,6549,6398,9222,7719,8102,7472,7026,6023,4273,5478,6180,5756,4576,4830
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,1,1,9,11,26,76,24,42,45,78,136,158,155,149,108,89,46,134,122,200,123,160,110,256,238,296,240,401,253,328,407,512,519,612,365,387,376,487,726,722,544,466